image_file,image_url,used_on_pages,source_referenced_in,status
/Users/Hannah/clawd/projects/phish-waterhabitat-fish-raja-2024-001.jpg,(workspace) phish-waterhabitat-fish-raja-2024-001.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/assets/images/phish-heroimage-whale2.png,(assets) assets/images/phish-heroimage-whale2.png,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/assets/img/logo.jpg,(assets) assets/img/logo.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/assets/img/phishbyhannah_profile.jpg,(assets) assets/img/phishbyhannah_profile.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/brand/Phish-icon-about.png,/brand/Phish-icon-about.png,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/brand/phish-icon-Field-001.png,/brand/phish-icon-Field-001.png,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/brand/phish-logo-darkblue.svg,/brand/phish-logo-darkblue.svg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/brand/phish-symbol-darkblue.svg,/brand/phish-symbol-darkblue.svg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/brand/phish-wordmark-offwhite.svg,/brand/phish-wordmark-offwhite.svg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/brand/phish-wordmark-white.svg,/brand/phish-wordmark-white.svg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/images/hero/phish-heroimage-mobula.png,/images/hero/phish-heroimage-mobula.png,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/images/hero/phish-heroimage-whale2.png,/images/hero/phish-heroimage-whale2.png,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/images/journey/phish-Journey-me-Perth-2026-001.jpg,/images/journey/phish-Journey-me-Perth-2026-001.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/images/journey/phish-journey-view-raja-2024-002.jpg,/images/journey/phish-journey-view-raja-2024-002.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/images/journey/phish-journey-view-raja-2024-007.jpg,/images/journey/phish-journey-view-raja-2024-007.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/images/journey/phish-journey-view-tonga-2025-005.jpg,/images/journey/phish-journey-view-tonga-2025-005.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/images/journey/phish-journey-view-tonga-2025-011.jpg,/images/journey/phish-journey-view-tonga-2025-011.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/images/me/Phish-me-header.jpg,/images/me/Phish-me-header.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/images/me/phish-Me-whaleshark-ningaloo-2024-001.jpg,/images/me/phish-Me-whaleshark-ningaloo-2024-001.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/images/me/phish-journey-me-perth-2026-003-1.jpg,/images/me/phish-journey-me-perth-2026-003-1.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/images/peopleinplace/Phish-peopleinplaces-Blonde-esperance-2024-001.jpg,/images/peopleinplace/Phish-peopleinplaces-Blonde-esperance-2024-001.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/images/peopleinplace/Phish-peopleinplaces-Sanch-ningaloo-2024-003.jpg,/images/peopleinplace/Phish-peopleinplaces-Sanch-ningaloo-2024-003.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/images/peopleinplace/Phish-peopleinplaces-Sanch-ningaloo-2024-004.jpg,/images/peopleinplace/Phish-peopleinplaces-Sanch-ningaloo-2024-004.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/images/peopleinplace/Phish-peopleinplaces-Sanch-ningaloo-2024-005.jpg,/images/peopleinplace/Phish-peopleinplaces-Sanch-ningaloo-2024-005.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/images/peopleinplace/Phish-peopleinplaces-Sanch-ningaloo-2024-006.jpg,/images/peopleinplace/Phish-peopleinplaces-Sanch-ningaloo-2024-006.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/images/peopleinplace/phish-peopleinplace-emma-ningaloo-2024-002.jpg,/images/peopleinplace/phish-peopleinplace-emma-ningaloo-2024-002.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/images/peopleinplace/phish-peopleinplace-emma-ningaloo-2024-003.jpg,/images/peopleinplace/phish-peopleinplace-emma-ningaloo-2024-003.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/images/peopleinplace/phish-peopleinplace-emma-ningaloo-2024-005.jpg,/images/peopleinplace/phish-peopleinplace-emma-ningaloo-2024-005.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/images/peopleinplace/phish-peopleinplace-sally-raja-2024-003.jpg,/images/peopleinplace/phish-peopleinplace-sally-raja-2024-003.jpg,,,UNUSED
